mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01082611083984375,0.0009923221510985528,0.0003634452819824219,6.778011677096846e-05,0.8,0.01,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-467.24701979644595,-306131.8218237292,-344.745455826656,-486.9375602380646,-655.2995866563909,-61617.21028924935,122257.3457988601,40
0.010640621185302734,0.00023918063446502102,0.00030159950256347656,1.7260583041521713e-05,0.8,0.01,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-474.8239111532224,-305730.9690355701,-321.69108973529654,-491.6311923654124,-383.08276306743863,-61480.4395983783,122125.28039510573,29
0.023461627960205077,0.0022442224283015953,0.0004086494445800781,9.421824431562911e-05,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-333.79373895936493,-306064.6835633037,-208.60425007610272,-334.494493458685,-887.6856866488635,-61565.85234648936,122249.64168077904,36
0.020394563674926758,0.0003324278037234398,0.00029439926147460936,8.59418784592119e-06,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-320.4629864532966,-305722.45807057543,-190.620229251675,-345.7608470640081,-254.50688319456572,-61366.7618033078,122177.86006843434,19
0.020095682144165038,0.0008667783119738014,0.00032296180725097654,1.970012770687122e-05,0.8,0.01,6,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 0.8}",-488.32368493198106,-306232.2947301801,-354.51837985181095,-518.3687095480152,-669.3914483323822,-61652.57939056887,122289.89863639022,42
0.020284223556518554,0.0011054794999672663,0.00031185150146484375,5.6319293074692325e-06,0.8,0.01,6,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 50, 'subsample': 1.0}",-499.57209555638644,-305725.3336521536,-328.97541837383375,-516.2410578559683,-398.3998169606985,-61493.704408180085,122115.83374146534,34
0.03867449760437012,0.0015756287491871844,0.00032958984375,9.851737263026153e-06,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-361.50238890869076,-306191.39277249237,-216.07545947597828,-369.7514679043891,-906.0974388884075,-61608.963905533965,122291.44037232525,39
0.04028444290161133,0.0027713569803123335,0.0003723621368408203,8.545520561396388e-05,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-360.53069272929184,-305150.78742985596,-202.57094705346196,-355.7151861091401,-282.83341239322107,-61270.487533628206,121940.16352409936,7
0.0296811580657959,0.0020651093487681796,0.00036630630493164065,2.5080274682839574e-05,0.8,0.01,10,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-502.05721536306663,-306153.7184575182,-360.18499909201637,-541.4494418972654,-680.0688819121489,-61647.495799156546,122253.15381591883,41
0.0300079345703125,0.0024396670589620635,0.0003340721130371094,1.0167259601461499e-05,0.8,0.01,10,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-503.57606153893283,-305623.93352198566,-353.92219953469464,-520.3203105724754,-407.4011772567133,-61481.8306541777,122071.06683995524,30
