mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,activation,alpha,hidden_layer_sizes,learning_rate,solver,target_variable,Sample Type,Train Percentage,Model,param_criterion,param_max_depth,param_max_features,param_n_estimators,criterion,max_depth,max_features,n_estimators,param_min_samples_leaf,param_min_samples_split,param_splitter,min_samples_leaf,min_samples_split,splitter,param_colsample_bytree,param_subsample,colsample_bytree,subsample,param_learning_rate_init,param_max_iter,learning_rate_init,max_iter,param_bootstrap,bootstrap,param_gamma,param_min_child_weight,gamma,min_child_weight
0.009186172485351562,0.001138376773937855,0.00036921501159667967,2.2620684375985977e-05,relu,0.0001,"(50,)",constant,adam,-72.77869009280441,-53.2784635435757,-93.4572677069024,-145.15532305494455,-85.76041475609962,-90.08603183086534,30.714961147927074,25,relu,0.0001,"(50,)",constant,adam,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2827390193939209,0.009949394836779214,0.0004677295684814453,3.786561441366685e-05,relu,0.0001,"(50,)",constant,sgd,-48821.81583896646,-36623.48248917174,-50402.251458130784,-50514.48021582904,-45975.95592239122,-46467.59718489785,5187.473706163404,43,relu,0.0001,"(50,)",constant,sgd,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008890151977539062,0.0010970371466871532,0.0003898143768310547,6.303563597343764e-05,relu,0.0001,"(50,)",adaptive,adam,-72.77869009280441,-53.2784635435757,-93.4572677069024,-145.15532305494455,-85.76041475609962,-90.08603183086534,30.714961147927074,25,relu,0.0001,"(50,)",adaptive,adam,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3099717617034912,0.029071452020516014,0.0005870819091796875,0.00020583467839460536,relu,0.0001,"(50,)",adaptive,sgd,-48821.81583896646,-36623.48248917174,-50402.251458130784,-50514.48021582904,-45975.95592239122,-46467.59718489785,5187.473706163404,43,relu,0.0001,"(50,)",adaptive,sgd,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020607566833496092,0.012234857332824478,0.0004187107086181641,2.09316848380292e-05,relu,0.0001,"(100,)",constant,adam,-53.24759556362062,-41.61315431058428,-97.8411775453193,-122.37300624394621,-98.4614583472793,-82.70727840214994,30.355226904236197,9,relu,0.0001,"(100,)",constant,adam,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36406636238098145,0.024904941051755038,0.0004634380340576172,4.663711182633298e-05,relu,0.0001,"(100,)",constant,sgd,-37891.40211978249,-26831.753099440495,-35089.73859606671,-37824.19357664655,-34303.99443121244,-34388.21636462973,4041.722743831578,39,relu,0.0001,"(100,)",constant,sgd,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.018670129776000976,0.011455817314608988,0.00036373138427734373,1.1702054083469319e-05,relu,0.0001,"(100,)",adaptive,adam,-53.24759556362062,-41.61315431058428,-97.8411775453193,-122.37300624394621,-98.4614583472793,-82.70727840214994,30.355226904236197,9,relu,0.0001,"(100,)",adaptive,adam,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37296180725097655,0.019662240462802714,0.00042977333068847654,3.7540017920215946e-05,relu,0.0001,"(100,)",adaptive,sgd,-37891.40211978249,-26831.753099440495,-35089.73859606671,-37824.19357664655,-34303.99443121244,-34388.21636462973,4041.722743831578,39,relu,0.0001,"(100,)",adaptive,sgd,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.011545753479003907,0.0025001056522026967,0.0003681659698486328,9.049107993284509e-06,relu,0.0001,"(50, 50)",constant,adam,-59.05560252530091,-51.02877600232737,-74.5126880061733,-182.85063772701614,-82.13008364668184,-89.91555758149991,47.74789990115727,20,relu,0.0001,"(50, 50)",constant,adam,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33378376960754397,0.2731676987252003,0.0005307197570800781,0.00018758976222053045,relu,0.0001,"(50, 50)",constant,sgd,-153074.89932222298,-128805.0501289173,-153348.44984973178,-150432.72152334068,-148790.3806205196,-146890.30028894646,9199.916171042314,47,relu,0.0001,"(50, 50)",constant,sgd,bodyfat_kg,CAPILAR,0.8,MLP Regressor (GridSearchCV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
